Title,Summary,Date
Vedanta Aluminium receives BIS certification for high-quality 12 mm aluminium wire rods,"Vedanta Aluminium has received a certification from the Bureau of Indian Standards (BIS) for its 12 mm aluminium wire rods manufactured at the BALCO facility in Korba, India. In addition, the company has acquired six renewed certifications for other products.",2024-08-02 14:41:00
Bauxite-rich Guinea redrafts political landscape with new constitution,Guinea's military leadership has introduced a draft constitution to reduce presidential terms and limit the number of terms a president can serve the West African nation with the world's largest bauxite reserves on record.,2024-08-02 14:37:00
"Aluminum billets : This week's performance was relatively stable, and the off-season market atmosphere did not see significant improvement","Although aluminum billet inventory slightly decreased mid-week, the inventory was affected by low domestic inflow.",2024-08-02 14:32:00
"Aluminum ingot inventory built-up showed signs of accelerating, surpassing 800,000 mt this week","As of August 1, 2024, SMM reported a total social inventory of aluminum ingots at 814,000 mt, (the amount for sale stood at 688,000 mt), an increase of 24,000 mt WoW and 289,000 mt higher YoY.",2024-08-02 14:31:00
"In July, domestic alumina costs increased by 1.77% MoM, with strong support from mining costs","According to the SMM alumina daily cost model, as of July 31, the weighted average total cost of the domestic alumina industry was 2,867.2 yuan/mt, up 49.7 yuan/mt from the end of June, up 1.77% MoM, and up 7.34% YoY.",2024-08-02 14:29:00
Aluminum prices to move rangebound due to positive macro front but weak fundamentals,"This week, the macro front improved.",2024-08-02 14:27:00
SMM Morning Comment For SHFE Base Metals On August 2,"Overnight, LME copper opened at $9,112/mt.",2024-08-02 07:10:00
SMM Aluminum Market Morning Comment (Aug 2),"The most-traded SHFE 2409 aluminum contract opened at 19,230 yuan/mt overnight, reaching a high of 19,330 yuan/mt and a low of 19,225 yuan/mt, and closed at 19,225 yuan/mt, up 50 yuan/mt, an increase of 0.26%.",2024-08-02 07:00:00
"The decline in aluminum prices makes it difficult to drive downstream demand. In July, the domestic aluminum processing sector PMI remained below 50% [SMM Downstream In-depth Analysis]","According to SMM data, the comprehensive PMI index of the domestic aluminum processing industry recorded 41.80% in July 2024, up 0.2 percentage points MoM, remaining below 50% for three consecutive months.",2024-08-01 13:15:00
Canyon Resources secures mining convention for Minim-Martap Bauxite Project in Cameroon,Canyon Resources Limited has formally signed a mining convention for the Minim-Martap Bauxite Project in Cameroon.,2024-08-01 07:12:00
Aluminum prices surged significantly; wait-and-see sentiment among downstream buyers led to weaker transactions. [Daily Review of Aluminum Billet Spot Market],"Today, SMM A00 spot aluminium prices increased by 200 yuan/mt compared to the previous working day, reaching 19,170 yuan/mt.",2024-08-01 07:12:00
Bauxite-rich Guinea redrafts political landscape with new constitution,Guinea's military leadership has introduced a draft constitution to reduce presidential terms and limit the number of terms a president can serve the West African nation with the world's largest bauxite reserves on record.,2024-08-01 07:06:00
SMM Morning Comment For SHFE Base Metals On August 1,"LME copper opened at $9,126/mt overnight, hitting a session low of $9,120/mt at the beginning of trading.",2024-08-01 07:00:00
SMM Aluminum Market Morning Comment (Aug 1),"The most-traded SHFE 2409 aluminum contract opened at 19,295 yuan/mt overnight, reaching a high of 19,355 yuan/mt and a low of 19,205 yuan/mt, and closed at 19,310 yuan/mt, up 175 yuan/mt, or 0.91%.",2024-08-01 06:54:00
"Bears hedged and exited, and spot aluminium prices rebounded slightly today","In the early trading session today, SHFE aluminum shorts exited the market, causing the market prices center to shift upwards.",2024-07-31 11:28:00
"iYacht together with Speira launches Hu'chu 55, featuring 90% recycled aluminium","German yacht design and engineering studio iYacht has unveiled the Hu'chu 55, a substantial 55-foot solar-electric sailing catamaran made of 90 per cent recycled scrap aluminium.",2024-07-31 07:18:00
China's NEV production growth signals higher aluminium consumption,"According to data from the China Association of Automobile Manufacturers, Chinese new energy vehicle (NEV) production surged by 31.9 per cent year-on-year in May.",2024-07-31 07:14:00
SMM Morning Comment For SHFE Base Metals On July 31,"LME copper opened at $8,954/mt overnight.",2024-07-31 07:06:00
SMM Aluminum Market Morning Comment (July 31),"The most-traded SHFE aluminum 2409 contract opened at 18,840 yuan/mt overnight, reaching a high of 19,040 yuan/mt and a low of 18,790 yuan/mt, and closed at 19,010 yuan/mt, up 60 yuan/mt, or 0.32%.",2024-07-31 06:57:00
DGTR suggests anti-dumping duty of up to INR577/t on Chinese aluminium frames,Directorate General of Trade Remedies (DGTR) under the Ministry of Commerce and Industry has reportedly put forward the proposal of imposing an anti-dumping duty of up to INR 577 per tonne on aluminium frames originating from China.,2024-07-30 13:28:00
Porsche trims down its sales and profit outlook as aluminium alloy supply shortage affects production,"Amid an unprecedented supply shortage of aluminium alloy, Porsche AG has reduced its sales and profit outlook, which has led to the German company’s shares falling 4 per cent to the bottom of Frankfurt’s blue-chip index.",2024-07-30 12:53:00
EGA welcomes over 25 high school & university students to industry-focussed summer training programme,"Emirates Global Aluminium, the largest industrial company in the United Arab Emirates outside oil and gas, welcomed for the summer training over 25 UAE National high school and university students considering careers in industry.",2024-07-30 10:46:00
Future of Saudi Arabia’s mining: Bauxite and phosphate remain key priorities,"Saudi Arabia’s mining sector is on the cusp of a transformative era, with the Kingdom determined to become a global leader in the industry.",2024-07-30 09:26:00
SMM Morning Comment For SHFE Base Metals On July 30,"LME copper opened at $9,076/mt overnight, initially reaching a high of $9,077/mt before hitting a low of $8,984/mt.",2024-07-30 07:30:00
SMM Aluminum Market Morning Comment (July 30),"Overnight, the most-traded SHFE aluminum 2409 contract opened at 19,145 yuan/mt, reaching a high of 19,205 yuan/mt and a low of 19,090 yuan/mt, and closed at 19,140 yuan/mt, down 55 yuan/mt, a decrease of 0.29%.",2024-07-30 07:01:00
SMM Morning Comment For SHFE Base Metals On July 29,"Last Friday night, LME copper opened at $9,132.5/mt, initially peaking at $9,147/mt, then trending downward to a session low of $9,076/mt.",2024-07-29 07:29:00
SMM Aluminum Market Morning Comment (July 29),"Last Friday, the most-traded SHFE 2409 aluminum contract opened at 19,290 yuan/mt, reaching a high of 19,395 yuan/mt and a low of 19,280 yuan/mt, and closed at 19,370 yuan/mt, up 120 yuan/mt, or 0.62%.",2024-07-29 07:14:00
"Destocking of aluminum billets continued, with processing fees steadily rising, but downstream demand still lacks growth","Regarding aluminum billet inventory, despite the off-season, the decline in aluminum prices last week did not significantly improve pick-up from warehouses.",2024-07-26 16:56:00
"Aluminum: The sharp drop in aluminum prices has not significantly driven destocking, with Wuxi's inventory far exceeding that of Foshan","On July 25, 2024, SMM reported that the total social inventory of aluminum ingots was 790,000 mt, (the amount for sale stood at 664,000 mt), down 7,000 mt WoW and 2,000 mt from July 22, but it is still 254,000 mt higher YoY.",2024-07-26 16:55:00
"China's primary aluminum imports in June decreased by 23.22% MoM. In July, domestic primary aluminum imports are expected to be mainly from long-term contracts","In June 2024, the domestic import volume of primary aluminum decreased by 23.22% MoM to 121,200 mt, up 35.61% YoY; the domestic export volume of primary aluminum in June was approximately 7,000 mt, down 78.68% YoY; the net import volume of primary aluminum in June 2024 was 114,200 mt, up 102.5% YoY, down 24.41% MoM.",2024-07-26 16:54:00
Aluminum prices to continue to fall due to weak market sentiment and poor demand,"This week, the macro front released some bullish information but met market expectations.",2024-07-26 16:53:00
SMM Morning Comment For SHFE Base Metals On July 26,"Overnight, LME copper opened at $9,000/mt, dipping to $8,996.5/mt at the beginning of the session, then fluctuating upwards to a high of $9,169.5/mt, and closed at $9,091/mt, up 0.45%.",2024-07-26 07:35:00
"Join us at IBAAS-IIM 2024: A premier bauxite, alumina & aluminium conference & exhibition at Goa","We are delighted to announce the upcoming IBAAS-IIM 2024 International Bauxite, Alumina & Aluminium Conference & Exhibition, set to take place during September 25-27, 2024 in the beautiful Goa, India.",2024-07-26 07:16:00
Vedanta Aluminium hosts strategic session on red mud utilisation in partnership with NITI Aayog,"Vedanta Aluminium, India’s largest aluminium producer, in partnership with NITI Aayog and leading national institutions, recently hosted a high-level stakeholder meeting to identify sustainable applications for red mud, a key byproduct in the bauxite refining process for making aluminium.",2024-07-26 07:12:00
SMM Aluminum Market Morning Comment (July 26),"Overnight, the most-traded SHFE aluminum 2409 contract opened at 19,130 yuan/mt, reaching a high of 19,240 yuan/mt and a low of 19,090 yuan/mt, and closed at 19,180 yuan/mt, up 5 yuan/mt, an increase of 0.02%.",2024-07-26 07:02:00
"The aluminum price in central China Foshan fell below 19,000 yuan/mt, and the spot market transactions were relatively moderate","In the early trading session today, the most-traded SHFE aluminum contract fluctuated downward before slightly rebounding.",2024-07-25 13:28:00
SMM Morning Comment For SHFE Base Metals On July 25,"LME copper opened at $9,174.5/mt overnight, initially reaching a high of $9,174.5/mt, then touching a low of $9,050/mt at the end of the trading session, and finally closed at $9,050.5/mt, down 1.16%.",2024-07-25 07:35:00
Global Aluminium Associations approves new OECD report on state enterprises & subsidies,"The aluminium associations of the United States, Europe, Canada, and Japan have approved a new report by the Organisation for Economic Cooperation and Development (OECD) titled ""Quantifying the Role of State Enterprises in Industrial Subsidies.""",2024-07-25 07:05:00
Intalco Aluminum commits $5.25 million to enhance environmental safety & compliance at Ferndale,"Intalco Aluminum LLC, a wholly owned subsidiary of Alcoa Corporation, the operator of the closed aluminium smelter in Ferndale, has agreed to a $5.25 million settlement with the U.S. Environmental Protection Agency (EPA).",2024-07-25 07:02:00
SMM Aluminum Market Morning Comment (July 25),"Market: The most-traded SHFE 2409 aluminum contract opened at 19,350 yuan/mt overnight, reaching a high of 19,360 yuan/mt and a low of 19,255 yuan/mt, and closed at 19,270 yuan/mt, down 50 yuan/mt, a decrease of 0.26%.",2024-07-25 06:56:00
SMM Morning Comment For SHFE Base Metals On July 24,"LME copper opened at $9,176/mt overnight, initially reaching a session high of $9,190/mt, hitting a session low of $9,110.5/mt, and finally closed at $9,157/mt, down 0.86%.",2024-07-24 07:36:00
